intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,match_filename,match_name,match_md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
1810000,0.00036737394608330663,0.013824884792626729,6.0890709295575685e-6,0.00002739457978671363,4.666666666666667,5.0,2.0548046676563256,/dev/fd/63,"GCA_000385715.1 Streptococcus pneumoniae 3051 strain=3051, ASM38571v1",8e2ba072e3adb15aa4bf0b9f832bc83d,0.8341013824884793,30000,22,4921400000,-,ERR10791255,c8db800b749d0e87e55f72237561c435,4926860000,51,DNA,10000,492686,true,0.8563458223837213,0.996449449101379,0.9263976357425501,0.996449449101379,14,6788,511050
1740000,0.0003531661139143389,0.004878048780487805,2.0296903098525227e-6,3.913511398101947e-6,2.0,2.0,0.0,/dev/fd/63,"GCF_001146525.1 Streptococcus pneumoniae strain=R34-3192, 6999_1#9",50d41f22918f0105d87cd9e2c5fda019,0.848780487804878,10000,178,4919160000,-,ERR10791255,c8db800b749d0e87e55f72237561c435,4926860000,51,DNA,10000,492686,true,0.855683808554292,0.9967903642833841,0.9262370864188381,0.9967903642833841,2,7461,511050
1770000,0.00035925518484389654,0.008928571428571428,4.059380619705045e-6,7.827022796203894e-6,2.0,2.0,1.0,/dev/fd/63,"GCA_901482425.1 Haemophilus haemolyticus strain=NCTC10659, 43908_F02",0b584f194bd397bf5156df607ce7c640,0.7901785714285714,20000,44,4920860000,-,ERR10791255,c8db800b749d0e87e55f72237561c435,4926860000,51,DNA,10000,492686,true,0.8559706689770996,0.9953930697206607,0.9256818693488802,0.9953930697206607,4,6916,511050
690000,0.00014004863137982406,0.01293103448275862,6.0890709295575685e-6,0.00001565404559240779,2.6666666666666665,1.0,2.357022603955158,/dev/fd/63,"GCA_000506665.1 Streptococcus pseudopneumoniae G42 strain=G42, Spspn.strG42_v1.0",639d093c430819086a8ea056ec8cc87d,0.2974137931034483,30000,23,4921370000,-,ERR10791255,c8db800b749d0e87e55f72237561c435,4926860000,51,DNA,10000,492686,true,0.840304792718629,0.9765033717045888,0.9084040822116088,0.9765033717045888,8,6796,511050
1710000,0.00034707704298478137,0.014705882352941176,6.0890709295575685e-6,0.000011740534194305841,2.0,1.0,1.4142135623730951,/dev/fd/63,"GCA_001715525.2 Streptococcus pneumoniae strain=D122, ASM171552v2",e66541049c4f9bd29b4b9d8d311b055e,0.8382352941176471,30000,24,4921340000,-,ERR10791255,c8db800b749d0e87e55f72237561c435,4926860000,51,DNA,10000,492686,true,0.8553920576627495,0.9965460485171109,0.9259690530899303,0.9965460485171109,6,6802,511050
1760000,0.000357225494534044,0.013574660633484163,6.0890709295575685e-6,0.000011740534194305841,2.0,2.0,0.816496580927726,/dev/fd/63,"GCA_002249695.1 Streptococcus pneumoniae K2527 strain=K2527, ASM224969v1",b589c04e2ec8f313af79547027ccd00e,0.7963800904977375,30000,25,4921310000,-,ERR10791255,c8db800b749d0e87e55f72237561c435,4926860000,51,DNA,10000,492686,true,0.8558755820011241,0.9955456617606996,0.9257106218809119,0.9955456617606996,6,6808,511050
1720000,0.0003491067332946339,0.015151515151515152,6.0890709295575685e-6,0.00001565404559240779,2.6666666666666665,1.0,2.357022603955158,/dev/fd/63,"GCA_002249715.1 Streptococcus pneumoniae K2557 strain=K2557, ASM224971v1",a7a8622ea35046b15a5a9897de4d3744,0.8686868686868687,30000,26,4921280000,-,ERR10791255,c8db800b749d0e87e55f72237561c435,4926860000,51,DNA,10000,492686,true,0.8554898617423804,0.9972435598222695,0.926366710782325,0.9972435598222695,8,6816,511050
1910000,0.00038767084918183185,0.012658227848101266,6.0890709295575685e-6,9.783778495254868e-6,1.6666666666666667,1.0,0.9428090415820634,/dev/fd/63,"GCA_002287575.1 Streptococcus pneumoniae strain=Spn_999, ASM228757v1",4f65fd664cc9f05082a68cfaa4074de3,0.8059071729957806,30000,27,4921250000,-,ERR10791255,c8db800b749d0e87e55f72237561c435,4926860000,51,DNA,10000,492686,true,0.8572492631749421,0.9957778265220222,0.9265135448484821,0.9957778265220222,5,6821,511050
200000,0.00004059380619705045,0.015625,6.0890709295575685e-6,7.827022796203894e-6,1.3333333333333333,1.0,0.4714045207910317,/dev/fd/63,"GCA_912470125.1 Streptococcus mitis, DRR077018_bin.1_metaWRAP_v1.1_MAG",8c45c58537fdf8cc381b8c6cdb88cdc1,0.10416666666666667,30000,28,4921220000,-,ERR10791255,c8db800b749d0e87e55f72237561c435,4926860000,51,DNA,10000,492686,true,0.8201463720517973,0.9566207122284267,0.8883835421401121,0.9566207122284267,4,6825,511050
1720000,0.0003491067332946339,0.014084507042253521,6.0890709295575685e-6,0.000017610801291458762,3.0,1.0,2.8284271247461903,/dev/fd/63,"GCF_001089105.1 Streptococcus pneumoniae strain=LE4038, 7622_4#16",c14cf3783f5e2b40876f41979d08234a,0.8075117370892019,30000,29,4921190000,-,ERR10791255,c8db800b749d0e87e55f72237561c435,4926860000,51,DNA,10000,492686,true,0.8554898617423804,0.9958166630869344,0.9256532624146574,0.9958166630869344,9,6834,511050
