intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,match_filename,match_name,match_md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
1110000,0.011143459492018873,0.03664921465968586,0.0007027406886858749,0.000030385439297488643,1.1428571428571428,1.0,0.3499271061118826,/dev/fd/63,"GCF_000156415.1 Francisella tularensis subsp. novicida FTG strain=FTG, ASM15641v1",12153fc6008328e11fa7db547add44f6,0.581151832460733,70000,2,97530000,-,SRR25131935,1e733bba13ba099d2c5e78374cc7ec44,99610000,51,DNA,10000,9961,true,0.9156010357103791,0.9894144019447032,0.9525077188275411,0.9894144019447032,8,251876,263284
1380000,0.013854030719807248,0.0111731843575419,0.00020078305391024997,7.596359824372161e-6,1.0,1.0,0.0,GCF_028968725.1_genomic.fna.gz,GCF_028968725.1 Francisella tularensis subsp. holarctica strain=FT 88 ASM2896872v1,3369ef78db4cc65518b2ef912a644d82,0.770949720670391,20000,22,97040000,-,SRR25131935,1e733bba13ba099d2c5e78374cc7ec44,99610000,51,DNA,10000,9961,true,0.9195181723813537,0.9949123563064239,0.9572152643438888,0.9949123563064239,2,251951,263284
1370000,0.013753639192852123,0.005847953216374269,0.00010039152695512498,3.7981799121860803e-6,1.0,1.0,0.0,GCF_028967325.1_genomic.fna.gz,GCF_028967325.1 Francisella tularensis subsp. holarctica strain=FT 131 ASM2896732v1,7d9424f6cb1ef6e73b1d03a4566c5cb0,0.8011695906432749,10000,55,96680000,-,SRR25131935,1e733bba13ba099d2c5e78374cc7ec44,99610000,51,DNA,10000,9961,true,0.9193870555663617,0.9956627150583206,0.9575248853123411,0.9956627150583206,1,252827,263284
1370000,0.013753639192852123,0.005649717514124294,0.00010039152695512498,3.7981799121860803e-6,1.0,1.0,0.0,GCF_028967165.1_genomic.fna.gz,GCF_028967165.1 Francisella tularensis subsp. holarctica strain=FT 133 ASM2896716v1,58c608285c7704fbbb06b23b6030b7b9,0.7740112994350282,10000,56,96670000,-,SRR25131935,1e733bba13ba099d2c5e78374cc7ec44,99610000,51,DNA,10000,9961,true,0.9193870555663617,0.9949896759775566,0.9571883657719591,0.9949896759775566,1,252828,263284
1860000,0.018672824013653246,0.005376344086021506,0.00010039152695512498,0.00003798179912186081,10.0,10.0,0.0,/dev/fd/63,"GCF_000742015.1 Francisella tularensis strain=FTV, ASM74201v1",f52ff6c4b182e59092a9fddc28438d18,1.0,10000,39,96840000,-,SRR25131935,1e733bba13ba099d2c5e78374cc7ec44,99610000,51,DNA,10000,9961,true,0.9249157117014755,1.0,0.9624578558507377,1.0,10,252802,263284
10000,0.00010039152695512498,0.005291005291005291,0.00010039152695512498,7.596359824372161e-6,2.0,2.0,0.0,/dev/fd/63,"GCF_000764555.1 Francisella sp. FSC1006 strain=FSC1006, ASM76455v1",5461580fe42304f650c09293c888360c,0.005291005291005291,10000,40,96830000,-,SRR25131935,1e733bba13ba099d2c5e78374cc7ec44,99610000,51,DNA,10000,9961,true,0.8348374120825581,0.9023260468401526,0.8685817294613554,0.9023260468401526,2,252804,263284
1370000,0.013753639192852123,0.005434782608695652,0.00010039152695512498,3.7981799121860803e-6,1.0,1.0,0.0,GCF_028967835.1_genomic.fna.gz,GCF_028967835.1 Francisella tularensis subsp. holarctica strain=FT 118 ASM2896783v1,2054d7e4cf5e6adf392f97f5b91effd7,0.7445652173913043,10000,58,96650000,-,SRR25131935,1e733bba13ba099d2c5e78374cc7ec44,99610000,51,DNA,10000,9961,true,0.9193870555663617,0.9942332637518488,0.9568101596591052,0.9942332637518488,1,252831,263284
1080000,0.010842284911153499,0.0051813471502590676,0.00010039152695512498,3.7981799121860803e-6,1.0,1.0,0.0,/dev/fd/63,"GCF_000154265.1 Francisella tularensis subsp. novicida GA99-3548 strain=GA99-3548, ASM15426v1",77e607d3cffb6b120d55999dd01274db,0.5595854922279793,10000,37,96860000,-,SRR25131935,1e733bba13ba099d2c5e78374cc7ec44,99610000,51,DNA,10000,9961,true,0.9151092750893488,0.9886810379287869,0.9518951565090679,0.9886810379287869,1,252790,263284
1860000,0.018672824013653246,0.005376344086021506,0.00010039152695512498,7.596359824372161e-6,2.0,2.0,0.0,/dev/fd/63,"GCF_000741935.1 Francisella tularensis strain=FTZ, ASM74193v1",22c94a17da4ac0a8084b110e730d64fe,1.0,10000,38,96850000,-,SRR25131935,1e733bba13ba099d2c5e78374cc7ec44,99610000,51,DNA,10000,9961,true,0.9249157117014755,1.0,0.9624578558507377,1.0,2,252792,263284
1380000,0.013854030719807248,0.011049723756906077,0.00020078305391024997,7.596359824372161e-6,1.0,1.0,0.0,GCF_028968985.1_genomic.fna.gz,GCF_028968985.1 Francisella tularensis subsp. holarctica strain=FT 79 ASM2896898v1,06090f97c63bf62ae0ac495eae835ee1,0.7624309392265194,20000,20,97080000,-,SRR25131935,1e733bba13ba099d2c5e78374cc7ec44,99610000,51,DNA,10000,9961,true,0.9195181723813537,0.9946956211823264,0.95710689678184,0.9946956211823264,2,251947,263284
1380000,0.013854030719807248,0.0111731843575419,0.00020078305391024997,7.596359824372161e-6,1.0,1.0,0.0,GCF_028967825.1_genomic.fna.gz,GCF_028967825.1 Francisella tularensis subsp. holarctica strain=FT 117 ASM2896782v1,a5004240c4fbc829e32bc173d31b77e8,0.770949720670391,20000,21,97060000,-,SRR25131935,1e733bba13ba099d2c5e78374cc7ec44,99610000,51,DNA,10000,9961,true,0.9195181723813537,0.9949123563064239,0.9572152643438888,0.9949123563064239,2,251949,263284
1380000,0.013854030719807248,0.010582010582010581,0.00020078305391024997,7.596359824372161e-6,1.0,1.0,0.0,GCF_028965225.1_genomic.fna.gz,GCF_028965225.1 Francisella tularensis subsp. holarctica strain=FT 104 ASM2896522v1,f914cce51c52ebe641e12326e65e5361,0.7301587301587301,20000,15,97180000,-,SRR25131935,1e733bba13ba099d2c5e78374cc7ec44,99610000,51,DNA,10000,9961,true,0.9195181723813537,0.9938524381804995,0.9566853052809265,0.9938524381804995,2,251937,263284
1370000,0.013753639192852123,0.005376344086021506,0.00010039152695512498,7.596359824372161e-6,2.0,2.0,0.0,GCF_028967235.1_genomic.fna.gz,GCF_028967235.1 Francisella tularensis subsp. holarctica strain=FT 132 ASM2896723v1,0868de1e92474fe8adbdb762decd5807,0.7365591397849462,10000,57,96660000,-,SRR25131935,1e733bba13ba099d2c5e78374cc7ec44,99610000,51,DNA,10000,9961,true,0.9193870555663617,0.9940225297665846,0.9567047926664731,0.9940225297665846,2,252830,263284
1560000,0.0156610782049995,0.010752688172043012,0.00020078305391024997,7.596359824372161e-6,1.0,1.0,0.0,/dev/fd/63,"GCF_016604985.1 Francisella tularensis subsp. mediasiatica strain=FSC122, ASM1660498v1",a908d9026ac6f8f71c299e63d077d322,0.8387096774193549,20000,13,97220000,-,SRR25131935,1e733bba13ba099d2c5e78374cc7ec44,99610000,51,DNA,10000,9961,true,0.9217313229201866,0.9965571038084855,0.959144213364336,0.9965571038084855,2,251933,263284
1380000,0.013854030719807248,0.010810810810810811,0.00020078305391024997,7.596359824372161e-6,1.0,1.0,0.0,GCF_028968425.1_genomic.fna.gz,GCF_028968425.1 Francisella tularensis subsp. holarctica strain=FT 102 ASM2896842v1,32da486791d9bc9cb2c694acebe97e59,0.745945945945946,20000,18,97120000,-,SRR25131935,1e733bba13ba099d2c5e78374cc7ec44,99610000,51,DNA,10000,9961,true,0.9195181723813537,0.9942693822093474,0.9568937772953505,0.9942693822093474,2,251943,263284
1380000,0.013854030719807248,0.010526315789473684,0.00020078305391024997,7.596359824372161e-6,1.0,1.0,0.0,GCF_028968805.1_genomic.fna.gz,GCF_028968805.1 Francisella tularensis subsp. holarctica strain=FT 91 ASM2896880v1,135672f46c91ea15d74fe949429cdaa8,0.7263157894736842,20000,16,97160000,-,SRR25131935,1e733bba13ba099d2c5e78374cc7ec44,99610000,51,DNA,10000,9961,true,0.9195181723813537,0.993749607891465,0.9566338901364093,0.993749607891465,2,251939,263284
40000,0.00040156610782049993,0.01,0.00020078305391024997,7.596359824372161e-6,1.0,1.0,0.0,/dev/fd/63,"GCF_018135955.1 Francisella philomiragia strain=18844, ASM1813595v1",d4affa761d90be007914ab1d01d50efc,0.02,20000,14,97200000,-,SRR25131935,1e733bba13ba099d2c5e78374cc7ec44,99610000,51,DNA,10000,9961,true,0.8578413985251997,0.9261617964232596,0.8920015974742297,0.9261617964232596,2,251935,263284
1380000,0.013854030719807248,0.011428571428571429,0.00020078305391024997,7.596359824372161e-6,1.0,1.0,0.0,GCF_028968325.1_genomic.fna.gz,GCF_028968325.1 Francisella tularensis subsp. holarctica strain=FT 105 ASM2896832v1,944555d8a85e1a25a36968d80f0ba5a9,0.7885714285714286,20000,17,97140000,-,SRR25131935,1e733bba13ba099d2c5e78374cc7ec44,99610000,51,DNA,10000,9961,true,0.9195181723813537,0.9953533334566519,0.9574357529190027,0.9953533334566519,2,251941,263284
1380000,0.013854030719807248,0.01092896174863388,0.00020078305391024997,7.596359824372161e-6,1.0,1.0,0.0,GCF_028968755.1_genomic.fna.gz,GCF_028968755.1 Francisella tularensis subsp. holarctica strain=FT 92 ASM2896875v1,126dc1174831b9b68df28e44f2bbf1b1,0.7540983606557377,20000,19,97100000,-,SRR25131935,1e733bba13ba099d2c5e78374cc7ec44,99610000,51,DNA,10000,9961,true,0.9195181723813537,0.9944813142500296,0.9569997433156916,0.9944813142500296,2,251945,263284
