,query_name,match_name,containment,intersect_hashes,jaccard,max_containment,query_containment_ani,match_containment_ani,max_containment_ani,Sample,acc
0,"GCF_013394915.1 Buchnera aphidicola (Aphis gossypii) strain=PASI, ASM1339491v1",SRR12060204,1.0,638,0.4922839506172839,1.0,1.0,0.9668154983721018,1.0,SAMN15310392,SRR12060204
1,"GCA_011754225.1 Buchnera aphidicola (Periphyllus lyropictus), QMUL_BucPlyr",SRR23060064,0.6905829596412556,308,1.9519338940322595e-06,0.6905829596412556,0.982525005924151,0.5347088892280477,0.982525005924151,SAMN32686720,SRR23060064
2,"GCF_024029895.1 Buchnera aphidicola (Periphyllus lyropictus) strain=Pl-LLN, ASM2402989v1",SRR11434957,0.4352678571428571,195,1.674825529130206e-06,0.4352678571428571,0.961164967354755,0.5308245215083737,0.961164967354755,SAMN13901561,SRR11434957
3,"GCF_005081445.1 Buchnera aphidicola (Hyadaphis tataricae) strain=Hta, ASM508144v1",SRR27437571,0.382660687593423,256,0.0002684096518433,0.382660687593423,0.9552872750420802,0.6760078282192069,0.9552872750420802,SAMN38957063,SRR27437571
4,"GCF_024029895.1 Buchnera aphidicola (Periphyllus lyropictus) strain=Pl-LLN, ASM2402989v1",SRR15070562,0.3526785714285714,158,1.17372592236e-05,0.3526785714285714,0.951582885502474,0.5823953613503259,0.951582885502474,SAMN16357538,SRR15070562
5,"GCF_024029895.1 Buchnera aphidicola (Periphyllus lyropictus) strain=Pl-LLN, ASM2402989v1",SRR10568415,0.3504464285714285,157,1.4427229788e-05,0.3504464285714285,0.9512952234485114,0.5881464166336081,0.9512952234485114,SAMN13422960,SRR10568415
6,"GCF_024029895.1 Buchnera aphidicola (Periphyllus lyropictus) strain=Pl-LLN, ASM2402989v1",SRR13648750,0.3459821428571428,155,1.40646771893e-05,0.3459821428571428,0.9507146264266816,0.5874340417693719,0.9507146264266816,SAMN17768877,SRR13648750
7,"GCA_011754225.1 Buchnera aphidicola (Periphyllus lyropictus), QMUL_BucPlyr",DRR248858,0.3408071748878923,152,2.50747582471e-05,0.3408071748878923,0.9500326059603263,0.6038332712047012,0.9500326059603263,SAMD00238634,DRR248858
8,"GCA_011754225.1 Buchnera aphidicola (Periphyllus lyropictus), QMUL_BucPlyr",SRR8945310,0.3385650224215246,151,5.07129876633e-05,0.3385650224215246,0.9497340402636172,0.6244302235903808,0.9497340402636172,SAMN09283747,SRR8945310
9,"GCF_024029895.1 Buchnera aphidicola (Periphyllus lyropictus) strain=Pl-LLN, ASM2402989v1",SRR15070654,0.3370535714285714,151,1.15493322076e-05,0.3370535714285714,0.9495317105616764,0.5819479336318357,0.9495317105616764,SAMN16357540,SRR15070654
10,"GCF_024029895.1 Buchnera aphidicola (Periphyllus lyropictus) strain=Pl-LLN, ASM2402989v1",SRR28800698,0.3236607142857143,145,1.33437138224e-05,0.3236607142857143,0.9477001553610468,0.5859639482380856,0.9477001553610468,SAMN37475543,SRR28800698
11,"GCF_024029895.1 Buchnera aphidicola (Periphyllus lyropictus) strain=Pl-LLN, ASM2402989v1",SRR1660457,0.3214285714285714,144,3.32267002379e-05,0.3214285714285714,0.9473878970650096,0.6119824064873823,0.9473878970650096,SAMN02808399,SRR1660457
12,"GCF_024029895.1 Buchnera aphidicola (Periphyllus lyropictus) strain=Pl-LLN, ASM2402989v1",SRR11434960,0.3191964285714285,143,4.68397529835203e-06,0.3191964285714285,0.947073566699488,0.5574680081987056,0.947073566699488,SAMN13901561,SRR11434960
13,"GCF_024029895.1 Buchnera aphidicola (Periphyllus lyropictus) strain=Pl-LLN, ASM2402989v1",SRR15070656,0.3080357142857143,138,1.52794376635e-05,0.3080357142857143,0.9454698192796804,0.5897561649281859,0.9454698192796804,SAMN16357541,SRR15070656
14,"GCF_024029895.1 Buchnera aphidicola (Periphyllus lyropictus) strain=Pl-LLN, ASM2402989v1",SRR15074770,0.3080357142857143,138,1.03350588637e-05,0.3080357142857143,0.9454698192796804,0.57887768888726,0.9454698192796804,SAMN16357543,SRR15074770
15,"GCF_024029895.1 Buchnera aphidicola (Periphyllus lyropictus) strain=Pl-LLN, ASM2402989v1",SRR19749277,0.3080357142857143,138,1.76613640767e-05,0.3080357142857143,0.9454698192796804,0.5938388979969295,0.9454698192796804,SAMN29019232,SRR19749277
16,"GCF_024029895.1 Buchnera aphidicola (Periphyllus lyropictus) strain=Pl-LLN, ASM2402989v1",SRR19749287,0.3058035714285714,137,1.68746809823e-05,0.3058035714285714,0.9451424390939106,0.5925517643810891,0.9451424390939106,SAMN29019236,SRR19749287
17,"GCF_024029895.1 Buchnera aphidicola (Periphyllus lyropictus) strain=Pl-LLN, ASM2402989v1",SRR19749290,0.3058035714285714,137,1.8847519577e-05,0.3058035714285714,0.9451424390939106,0.5956799600615631,0.9451424390939106,SAMN29019225,SRR19749290
18,"GCF_024029895.1 Buchnera aphidicola (Periphyllus lyropictus) strain=Pl-LLN, ASM2402989v1",SRR15070717,0.2991071428571428,134,1.30602862814e-05,0.2991071428571428,0.9441464633907372,0.5853652697990535,0.9441464633907372,SAMN16357539,SRR15070717
19,"GCA_011754225.1 Buchnera aphidicola (Periphyllus lyropictus), QMUL_BucPlyr",SRR19749282,0.2959641255605381,132,1.66104449246e-05,0.2959641255605381,0.9436716503125324,0.5921066313792578,0.9436716503125324,SAMN29019227,SRR19749282
20,"GCA_000147035.1 Candidatus Sulcia muelleri CARI strain=CARI, ASM14703v1",SRR19355472,0.2956204379562044,81,5.46787085834e-05,0.2956204379562044,0.943619438751382,0.6266739741372018,0.943619438751382,SAMN28422185,SRR19355472
21,"GCF_024029895.1 Buchnera aphidicola (Periphyllus lyropictus) strain=Pl-LLN, ASM2402989v1",SRR15069915,0.2946428571428571,132,4.45391012819e-05,0.2946428571428571,0.9434706121316913,0.6205823463031205,0.9434706121316913,SAMN20081305,SRR15069915
